city,locality,pincode,tier,avg_price_per_sqft,avg_rental_yield_pct,yield_std,avg_builder_score,rera_compliance_rate,n_properties,avg_yoy_appreciation_pct,appreciation_volatility,cumulative_5yr_index,stability_score,yield_norm,appreciation_norm,stability_norm
Ahmedabad,Bopal,380058,mid,7681.68,4.9934,1.4427052395285969,0.7892,0.86,50,8.846,3.4800186781107945,1.525,0.16884123148501712,0.8368344377085393,0.4979446935724963,0.22703318654921836
Ahmedabad,Chandkheda,382424,affordable,6584.58,4.877,1.9343651070433776,0.7951999999999999,0.84,50,6.984,2.667785598581716,1.4,0.1785028737259611,0.8094835283612953,0.3239910313901346,0.25719674166333817
Ahmedabad,Gota,382481,affordable,6712.34,4.6254,1.8647308828102043,0.7810000000000001,0.84,50,10.558000000000002,5.2587184750659555,1.644,0.12310041657740396,0.7503642088444008,0.65788490284006,0.08423079778101879
Ahmedabad,Maninagar,380008,affordable,7364.4,4.9668,1.5263260410782062,0.812,0.94,50,9.248000000000001,4.065915641033395,1.552,0.15169346759745678,0.8305841439917292,0.5355007473841557,0.17349803090927995
Ahmedabad,Navrangpura,380009,mid-premium,11830.8,4.7588,0.8125059246251812,0.8442000000000001,0.92,50,4.843999999999999,1.4107196744924198,1.266,0.3102482185155649,0.781709666807651,0.12406576980568011,0.6685044541088841
Ahmedabad,Prahlad Nagar,380015,mid-premium,12093.7,4.566599999999999,1.049714460688997,0.7879999999999999,0.84,50,4.9079999999999995,1.857328726962462,1.27,0.2559480282072603,0.7365477701019785,0.13004484304932737,0.49897977681016126
Ahmedabad,SG Highway,380054,mid,9225.08,4.7596,1.5297284806428217,0.8008,0.9,50,9.55,3.841074068538642,1.574,0.15696609528865124,0.7818976455660512,0.563714499252616,0.18995912437490176
Ahmedabad,Satellite,380015,mid-premium,11156.1,4.6112,1.262116201513335,0.8073999999999999,0.92,50,7.064,1.0907016090572161,1.406,0.2982565878907179,0.7470275858827955,0.3314648729446937,0.6310666974376747
Ahmedabad,Thaltej,380059,mid,10967.2,4.5832,1.28051080369021,0.7812,0.88,50,7.452000000000001,5.309385086806193,1.425,0.1317541128926601,0.7404483293387849,0.3677130044843051,0.11124755530904129
Ahmedabad,Vastrapur,380015,mid-premium,10936.02,4.147,1.6047763529093837,0.7932000000000001,0.84,50,6.998,1.8276405554703588,1.402,0.22561054627091637,0.6379529113210209,0.3252989536621825,0.4042664469652014
Bangalore,Electronic City,560100,affordable,9952.32,4.8136,1.2013882446094244,0.804,0.94,50,8.581999999999999,1.0728093959320077,1.509,0.3054183374937124,0.7945862117580715,0.47328101644245135,0.6534256115307662
Bangalore,HSR Layout,560102,mid-premium,16221.54,4.0084,1.1293457741325374,0.8122,0.92,50,5.401999999999999,0.9442563211331971,1.301,0.3253511576987466,0.6053855914281687,0.17619581464872944,0.7156556864849436
Bangalore,Hebbal,560024,mid,13587.78,4.2852,1.0943402448181148,0.8178,0.92,50,8.148,3.6171079607885632,1.476,0.17508694187550258,0.6704262418346728,0.43273542600896864,0.246532234939964
Bangalore,Indiranagar,560038,premium,25636.96,2.6282,0.8820562479172153,0.8056,0.9,50,4.529999999999999,0.8459905436823747,1.248,0.36656262754703345,0.28107523849804983,0.09473094170403587,0.8443175030894499
Bangalore,JP Nagar,560078,mid,14444.28,4.0744,1.2128279653229417,0.78,0.82,50,6.936,3.9701800966706786,1.394,0.16173357530405108,0.6208938389961935,0.3195067264573992,0.20484315160482405
Bangalore,Koramangala,560034,premium,23010.88,2.8510000000000004,1.0455313071762673,0.8054000000000001,0.84,50,4.546,0.6964768481435689,1.249,0.3646962165520463,0.33342732271253367,0.09622571001494776,0.8384905857281014
Bangalore,Malleshwaram,560003,premium,22132.32,2.9916,0.9822597021404165,0.7696000000000001,0.84,50,5.436,1.1606162156371933,1.303,0.31817991742643154,0.36646458950138644,0.1793721973094171,0.693267142612568
Bangalore,Sarjapur Road,560035,affordable,10537.84,4.9504,1.2823861050592291,0.8026000000000001,0.9,50,7.378,3.5671375078625713,1.424,0.17095409236249007,0.826730579444523,0.3607997010463379,0.23362951809791127
Bangalore,Whitefield,560066,mid,13448.18,4.2588,1.4017229048712931,0.8344,0.9,50,4.888,2.1923548982771925,1.268,0.21767154211334083,0.664222942807463,0.12817638266068765,0.3794809515508258
Bangalore,Yelahanka,560064,affordable,8544.14,4.7726,1.5502255398779223,0.789,0.88,50,9.814,4.450559515386801,1.592,0.14284112311775393,0.784952300390056,0.5883781763826608,0.1458610957026414
Bhubaneswar,Chandrasekharpur,751016,affordable,4617.8,5.1422,1.8964448909709442,0.762,0.84,50,10.318,7.507154587458553,1.619,0.09612057846645954,0.8717984867709951,0.6354633781763827,0.0
Bhubaneswar,Jaydev Vihar,751013,mid,7219.54,4.9319999999999995,1.3791390393270426,0.7964,0.84,50,6.126,3.9970776825075593,1.342,0.15683281224987505,0.8224070680013159,0.24383408071748888,0.18954301599646628
Bhubaneswar,Kalinga Nagar,751003,affordable,5929.16,5.1724,1.7031322404826437,0.8078,0.84,50,6.51,3.6641711204582137,1.367,0.15705235691051417,0.8788946849006064,0.27970852017937226,0.1902284323372965
Bhubaneswar,Khandagiri,751030,affordable,5029.54,5.2791999999999994,1.780421688183758,0.8012,0.9,50,9.084,4.003464749438915,1.541,0.14740812795068506,0.9039898491470465,0.5201793721973095,0.16011924132107305
Bhubaneswar,Nayapalli,751012,mid,6525.26,4.8414,1.7019604662187156,0.8304,0.86,50,6.6819999999999995,2.375683059669366,1.381,0.1969417496327885,0.801118473612482,0.29577727952167415,0.3147627367382771
Bhubaneswar,Old Town,751002,affordable,4237.56,5.6622,1.428486126024645,0.8084,0.96,50,11.36,3.6069031037719883,1.709,0.16568939664454677,0.9939846797311906,0.7328101644245142,0.21719318817728098
Bhubaneswar,Patia,751024,mid,5169.42,5.4998000000000005,1.301136849851243,0.7804000000000001,0.84,50,9.418000000000001,2.3830274862032117,1.567,0.2134852512118129,0.9558249917759296,0.5513826606875936,0.3664113912024973
Bhubaneswar,Rasulgarh,751010,affordable,4503.82,4.9968,1.9283718838566848,0.8170000000000001,0.88,50,8.274000000000001,5.91605696389073,1.479,0.11306552601807517,0.8376333474317406,0.44450672645739925,0.05290196496957941
Bhubaneswar,Saheed Nagar,751007,mid,5959.46,4.9514,1.758828471408379,0.7692,0.86,50,7.122,3.437516545414727,1.408,0.16138546147527214,0.8269655528925233,0.33688340807174894,0.20375634354481714
Chandigarh,Kharar,140301,affordable,6276.4,5.0736,1.3765629484409374,0.7898000000000001,0.86,50,7.944,4.870044147643839,1.46,0.13799561460152623,0.8556793082381693,0.4136771300448432,0.1307334642358308
Chandigarh,Mohali Phase 7,160062,mid,9216.86,4.6621999999999995,1.3419073997067583,0.779,0.86,50,8.937999999999999,2.377544952256423,1.533,0.2118889916504875,0.7590112317308145,0.5065396113602391,0.36142788404566695
Chandigarh,Panchkula Sector 8,134109,mid,10327.96,4.5522,1.4876708133789516,0.8276,0.84,50,6.626,2.8658733398390095,1.376,0.1867921457972678,0.7331641524507733,0.29054559043348294,0.28307577017043845
Chandigarh,Sector 17,160017,premium,13401.7,4.1358,1.2676220546635295,0.792,0.9,50,4.532,0.9454998677948082,1.248,0.31122379546522366,0.6353212087034166,0.0949177877428999,0.6715501960599153
Chandigarh,Sector 22,160022,mid-premium,11281.98,4.1484,1.7330206730045734,0.7574,0.78,50,4.578,2.9651846485505757,1.249,0.17549385176016805,0.6382818741482214,0.09921524663677138,0.24780260372681195
